trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.10423602686569865}",20,14,9.754049105483588,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.20300486381875213}",20,10,18.97856034861651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.2997453432770149}",25,11,5.5653093428310605,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3934908663478909}",25,10,-92.01496736224573,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.4833047587530059}",25,2,-19.868348538548194,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.568289629767975}",30,19,10.488824993720334,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.6475963386538773}",30,14,-66.98081698185226,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.7204324789908387}",25,0,-176.21388069019056,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.7860702961410393}",20,0,-124.60926208407032,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.8438539587324921}",25,17,-5.392073514513697,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.8932061115093233}",25,0,-116.59947302397346,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9336336440746379}",25,0,-100.00505545958532,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.9647326178866098}",25,0,-104.67637245093957,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9861923022788637}",20,1,-73.98027210354267,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.9977982791785807}",20,0,-83.92415927541657,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9994345855010047}",20,0,-130.58214690057196,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.991084871814253}",35,0,-179.08580403443142,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.9728325656974354}",20,11,-21.070269828321575,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.9448600381598606}",25,0,-116.247321701875,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.9074467814501962}",30,0,-90.10759717008159,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.8609666164623057}",20,0,-109.35854896423066,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8058839576404497}",20,4,-14.744447019602347,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.7427491727036695}",25,1,-96.28865843100941,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.6721930835534681}",20,0,-70.68903903951238,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.594920663309892}",20,1,-90.13531533837238,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.5117039924531475}",25,11,-7.538848257025885,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.42337454445066386}",30,18,-50.18263455511914,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.33081487794904696}",25,8,-6.580339491069086,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.23494981853982308}",25,3,-14.02142396017126,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.1367372182078336}",25,11,-30.224285073170087,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.03715838479082463}",35,16,32.226232734692886,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.06279172292408354}",25,9,6.584145956878119,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.16211443649971827}",20,8,14.916158284436154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.25981735621375585}",20,12,-0.715338700798094,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.354924266788705}",30,12,-30.20309909956831,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.4464848914122672}",25,15,-20.571365210119055,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.5335843865891192}",25,13,-24.99159384708783,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.6153524829547208}",25,0,-27.237764311588432,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.6909721807191258}",20,0,-46.43979979645721,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.7596879128588213}",30,6,-14.873946760286874,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.8208130944926693}",20,0,-120.24371487518002,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.873736983011081}",35,0,-254.07758362082768,"{0: 17, 1: 5, 2: 7, 3: 3, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.9179307804142932}",30,2,-150.56497622655706,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.9529529168871803}",25,0,-173.75111082244175,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.9784534628188842}",35,0,-226.15827233273336,"{0: 19, 1: 4, 2: 7, 3: 2, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.9941776251838154}",20,0,-115.51221898303599,"{0: 11, 1: 6, 2: 0, 3: 1, 4: 2}",0
